Wavelength [nm], absorption
520.25203, 0.83116427
520.27703, 0.83101644
520.30203, 0.83081381
520.32703, 0.83055635
520.35204, 0.83024450
520.37704, 0.82987910
520.40204, 0.82946145
520.42704, 0.82899325
520.45205, 0.82847667
520.47705, 0.82791426
520.50205, 0.82730901
520.52705, 0.82666428
520.55206, 0.82598382
520.57706, 0.82527173
520.60206, 0.82453248
520.62706, 0.82377080
520.65207, 0.82299176
520.67707, 0.82220065
520.70207, 0.82140299
520.72707, 0.82060449
520.75208, 0.81981100
520.77708, 0.81902848
520.80208, 0.81826295
520.82708, 0.81752042
520.85209, 0.81680690
520.87709, 0.81612830
520.90209, 0.81549037
520.92709, 0.81489872
520.95210, 0.81435869
520.97710, 0.81387533
521.00210, 0.81345339
521.02710, 0.81309719
521.05211, 0.81281065
521.07711, 0.81259722
521.10211, 0.81245984
521.12711, 0.81240090
521.15212, 0.81242222
521.17712, 0.81252503
521.20212, 0.81270994
521.22712, 0.81297694
521.25213, 0.81332537
521.27713, 0.81375394
521.30213, 0.81426074
521.32713, 0.81484320
521.35214, 0.81549817
521.37714, 0.81622193
521.40214, 0.81701018
521.42714, 0.81785811
521.45215, 0.81876041
521.47715, 0.81971136
521.50215, 0.82070480
521.52715, 0.82173426
521.55216, 0.82279294
521.57716, 0.82387382
521.60216, 0.82496966
521.62716, 0.82607309
521.65217, 0.82717664
521.67717, 0.82827282
521.70217, 0.82935412
521.72717, 0.83041312
521.75218, 0.83144245
521.77718, 0.83243494
521.80218, 0.83338355
521.82718, 0.83428148
521.85219, 0.83512218
521.87719, 0.83589934
521.90219, 0.83660700
521.92719, 0.83723947
521.95220, 0.83779145
521.97720, 0.83825797
522.00220, 0.83863446
522.02720, 0.83891671
522.05221, 0.83910095
522.07721, 0.83918381
522.10221, 0.83916238
522.12721, 0.83903417
522.15222, 0.83879717
522.17722, 0.83844986
522.20222, 0.83799120
522.22722, 0.83742067
522.25223, 0.83673832
522.27723, 0.83594471
522.30223, 0.83504104
522.32723, 0.83402909
522.35224, 0.83291129
522.37724, 0.83169072
522.40224, 0.83037117
522.42724, 0.82895714
522.45225, 0.82745386
522.47725, 0.82586732
522.50225, 0.82420429
522.52725, 0.82247233
522.55226, 0.82067976
522.57726, 0.81883571
522.60226, 0.81695004
522.62726, 0.81503340
522.65227, 0.81309709
522.67727, 0.81115309
522.70227, 0.80921396
522.72727, 0.80729278
522.75228, 0.80540303
522.77728, 0.80355850
522.80228, 0.80177317
522.82728, 0.80006107
522.85229, 0.79843614
522.87729, 0.79691205
522.90229, 0.79550209
522.92729, 0.79421893
522.95230, 0.79307454
522.97730, 0.79207993
523.00230, 0.79124507
523.02730, 0.79057868
523.05231, 0.79008812
523.07731, 0.78977928
523.10231, 0.78965644
523.12731, 0.78972223
523.15232, 0.78997754
523.17732, 0.79042153
523.20232, 0.79105157
523.22732, 0.79186335
523.25233, 0.79285086
523.27733, 0.79400648
523.30233, 0.79532113
523.32733, 0.79678436
523.35234, 0.79838447
523.37734, 0.80010871
523.40234, 0.80194344
523.42734, 0.80387427
523.45235, 0.80588630
523.47735, 0.80796422
523.50235, 0.81009255
523.52735, 0.81225579
523.55236, 0.81443853
523.57736, 0.81662566
523.60236, 0.81880245
523.62736, 0.82095467
523.65237, 0.82306871
523.67737, 0.82513163
523.70237, 0.82713122
523.72737, 0.82905607
523.75238, 0.83089560
523.77738, 0.83264004
523.80238, 0.83428049
523.82738, 0.83580886
523.85239, 0.83721791
523.87739, 0.83850118
523.90239, 0.83965302
523.92739, 0.84066848
523.95240, 0.84154339
523.97740, 0.84227421
524.00240, 0.84285808
524.02740, 0.84329277
524.05241, 0.84357665
524.07741, 0.84370865
524.10241, 0.84368827
524.12741, 0.84351554
524.15242, 0.84319102
524.17742, 0.84271581
524.20242, 0.84209149
524.22742, 0.84132020
524.25243, 0.84040458
524.27743, 0.83934780
524.30243, 0.83815360
524.32743, 0.83682624
524.35244, 0.83537055
524.37744, 0.83379195
524.40244, 0.83209644
524.42744, 0.83029060
524.45245, 0.82838164
524.47745, 0.82637736
524.50245, 0.82428616
524.52745, 0.82211704
524.55246, 0.81987959
524.57746, 0.81758395
524.60246, 0.81524079
524.62746, 0.81286131
524.65247, 0.81045715
524.67747, 0.80804036
524.70247, 0.80562334
524.72747, 0.80321881
524.75248, 0.80083967
524.77748, 0.79849898
524.80248, 0.79620987
524.82748, 0.79398541
524.85249, 0.79183858
524.87749, 0.78978212
524.90249, 0.78782845
524.92749, 0.78598960
524.95250, 0.78427706
524.97750, 0.78270172
525.00250, 0.78127377
525.02750, 0.78000258
525.05251, 0.77889664
525.07751, 0.77796349
525.10251, 0.77720958
525.12751, 0.77664030
525.15252, 0.77625982
525.17752, 0.77607110
525.20252, 0.77607586
525.22752, 0.77627451
525.25253, 0.77666616
525.27753, 0.77724859
525.30253, 0.77801833
525.32753, 0.77897058
525.35254, 0.78009934
525.37754, 0.78139738
525.40254, 0.78285638
525.42754, 0.78446692
525.45255, 0.78621862
525.47755, 0.78810023
525.50255, 0.79009969
525.52755, 0.79220429
525.55256, 0.79440073
525.57756, 0.79667530
525.60256, 0.79901393
525.62756, 0.80140236
525.65257, 0.80382622
525.67757, 0.80627117
525.70257, 0.80872298
525.72757, 0.81116765
525.75258, 0.81359149
525.77758, 0.81598120
525.80258, 0.81832394
525.82758, 0.82060739
525.85259, 0.82281983
525.87759, 0.82495012
525.90259, 0.82698777
525.92759, 0.82892297
525.95260, 0.83074656
525.97760, 0.83245005
526.00260, 0.83402563
526.02760, 0.83546615
526.05261, 0.83676507
526.07761, 0.83791652
526.10261, 0.83891518
526.12761, 0.83975635
526.15262, 0.84043586
526.17762, 0.84095011
526.20262, 0.84129599
526.22762, 0.84147093
526.25263, 0.84147284
526.27763, 0.84130016
526.30263, 0.84095180
526.32763, 0.84042721
526.35264, 0.83972636
526.37764, 0.83884978
526.40264, 0.83779858
526.42764, 0.83657449
526.45265, 0.83517990
526.47765, 0.83361793
526.50265, 0.83189242
526.52765, 0.83000806
526.55266, 0.82797040
526.57766, 0.82578590
526.60266, 0.82346203
526.62766, 0.82100726
526.65267, 0.81843115
526.67767, 0.81574436
526.70267, 0.81295870
526.72767, 0.81008711
526.75268, 0.80714368
526.77768, 0.80414361
526.80268, 0.80110320
526.82768, 0.79803974
526.85269, 0.79497147
526.87769, 0.79191745
526.90269, 0.78889740
526.92769, 0.78593159
526.95270, 0.78304065
526.97770, 0.78024533
527.00270, 0.77756632
527.02770, 0.77502401
527.05271, 0.77263823
527.07771, 0.77042799
527.10271, 0.76841128
527.12771, 0.76660475
527.15272, 0.76502352
527.17772, 0.76368094
527.20272, 0.76258837
527.22772, 0.76175505
527.25273, 0.76118792
527.27773, 0.76089149
527.30273, 0.76086783
527.32773, 0.76111648
527.35274, 0.76163449
527.37774, 0.76241645
527.40274, 0.76345459
527.42774, 0.76473889
527.45275, 0.76625725
527.47775, 0.76799568
527.50275, 0.76993851
527.52775, 0.77206859
527.55276, 0.77436759
527.57776, 0.77681620
527.60276, 0.77939441
