wavelength [nm], relative absorbance
509.91599, 0.91004793
509.93099, 0.90952550
509.94599, 0.90900576
509.96100, 0.90848958
509.97600, 0.90797785
509.99100, 0.90747146
510.00600, 0.90697127
510.02100, 0.90647817
510.03600, 0.90599301
510.05101, 0.90551666
510.06601, 0.90504995
510.08101, 0.90459371
510.09601, 0.90414877
510.11101, 0.90371591
510.12601, 0.90329592
510.14101, 0.90288955
510.15602, 0.90249754
510.17102, 0.90212059
510.18602, 0.90175939
510.20102, 0.90141460
510.21602, 0.90108683
510.23102, 0.90077669
510.24602, 0.90048473
510.26103, 0.90021147
510.27603, 0.89995741
510.29103, 0.89972300
510.30603, 0.89950864
510.32103, 0.89931473
510.33603, 0.89914157
510.35104, 0.89898948
510.36604, 0.89885869
510.38104, 0.89874941
510.39604, 0.89866180
510.41104, 0.89859597
510.42604, 0.89855199
510.44104, 0.89852988
510.45605, 0.89852963
510.47105, 0.89855115
510.48605, 0.89859434
510.50105, 0.89865902
510.51605, 0.89874500
510.53105, 0.89885201
510.54605, 0.89897975
510.56106, 0.89912787
510.57606, 0.89929599
510.59106, 0.89948366
510.60606, 0.89969041
510.62106, 0.89991572
510.63606, 0.90015902
510.65107, 0.90041971
510.66607, 0.90069714
510.68107, 0.90099065
510.69607, 0.90129951
510.71107, 0.90162298
510.72607, 0.90196027
510.74107, 0.90231057
510.75608, 0.90267303
510.77108, 0.90304678
510.78608, 0.90343094
510.80108, 0.90382457
510.81608, 0.90422674
510.83108, 0.90463649
510.84608, 0.90505283
510.86109, 0.90547479
510.87609, 0.90590134
510.89109, 0.90633148
510.90609, 0.90676419
510.92109, 0.90719843
510.93609, 0.90763317
510.95110, 0.90806738
510.96610, 0.90850003
510.98110, 0.90893010
510.99610, 0.90935656
511.01110, 0.90977840
511.02610, 0.91019462
511.04110, 0.91060425
511.05611, 0.91100629
511.07111, 0.91139982
511.08611, 0.91178388
511.10111, 0.91215759
511.11611, 0.91252004
511.13111, 0.91287040
511.14611, 0.91320782
511.16112, 0.91353151
511.17612, 0.91384071
511.19112, 0.91413469
511.20612, 0.91441275
511.22112, 0.91467425
511.23612, 0.91491856
511.25113, 0.91514511
511.26613, 0.91535337
511.28113, 0.91554285
511.29613, 0.91571310
511.31113, 0.91586373
511.32613, 0.91599438
511.34113, 0.91610474
511.35614, 0.91619456
511.37114, 0.91626362
511.38614, 0.91631176
511.40114, 0.91633888
511.41614, 0.91634490
511.43114, 0.91632982
511.44614, 0.91629366
511.46115, 0.91623651
511.47615, 0.91615850
511.49115, 0.91605981
