wavelength [nm], relative absorbance
510.47105, 0.55094654
510.48605, 0.55097446
510.50105, 0.55100256
510.51605, 0.55103059
510.53105, 0.55105826
510.54605, 0.55108533
510.56106, 0.55111150
510.57606, 0.55113654
510.59106, 0.55116016
510.60606, 0.55118213
510.62106, 0.55120219
510.63606, 0.55122009
510.65107, 0.55123561
510.66607, 0.55124851
510.68107, 0.55125859
510.69607, 0.55126564
510.71107, 0.55126946
510.72607, 0.55126987
510.74107, 0.55126671
510.75608, 0.55125982
510.77108, 0.55124907
510.78608, 0.55123432
510.80108, 0.55121547
510.81608, 0.55119243
510.83108, 0.55116512
510.84608, 0.55113348
510.86109, 0.55109747
510.87609, 0.55105706
510.89109, 0.55101225
510.90609, 0.55096305
510.92109, 0.55090949
510.93609, 0.55085160
510.95110, 0.55078946
510.96610, 0.55072314
510.98110, 0.55065274
510.99610, 0.55057838
511.01110, 0.55050018
511.02610, 0.55041829
511.04110, 0.55033287
511.05611, 0.55024409
511.07111, 0.55015214
511.08611, 0.55005723
511.10111, 0.54995956
511.11611, 0.54985938
511.13111, 0.54975690
511.14611, 0.54965238
511.16112, 0.54954607
511.17612, 0.54943823
511.19112, 0.54932914
511.20612, 0.54921907
511.22112, 0.54910830
511.23612, 0.54899712
511.25113, 0.54888580
511.26613, 0.54877464
511.28113, 0.54866392
511.29613, 0.54855394
511.31113, 0.54844496
511.32613, 0.54833728
511.34113, 0.54823118
511.35614, 0.54812691
511.37114, 0.54802475
511.38614, 0.54792494
511.40114, 0.54782775
511.41614, 0.54773340
511.43114, 0.54764212
511.44614, 0.54755412
511.46115, 0.54746961
511.47615, 0.54738878
511.49115, 0.54731179
511.50615, 0.54723881
511.52115, 0.54716998
511.53615, 0.54710543
511.55116, 0.54704525
511.56616, 0.54698955
511.58116, 0.54693840
511.59616, 0.54689186
511.61116, 0.54684995
511.62616, 0.54681269
511.64116, 0.54678009
511.65617, 0.54675212
511.67117, 0.54672875
511.68617, 0.54670991
511.70117, 0.54669552
511.71617, 0.54668550
511.73117, 0.54667971
511.74617, 0.54667804
511.76118, 0.54668033
511.77618, 0.54668641
511.79118, 0.54669610
511.80618, 0.54670920
511.82118, 0.54672550
511.83618, 0.54674476
511.85119, 0.54676675
511.86619, 0.54679122
511.88119, 0.54681789
511.89619, 0.54684649
511.91119, 0.54687674
511.92619, 0.54690835
511.94119, 0.54694102
511.95620, 0.54697443
511.97120, 0.54700829
511.98620, 0.54704228
512.00120, 0.54707608
512.01620, 0.54710938
