wavelength [nm], relative intensity
765.64565, 0.00000000
765.86587, 0.00000000
766.08609, 0.00000000
766.30631, 0.00000000
766.52653, 0.00000000
766.74675, 0.00000000
766.96697, 0.00000000
767.18719, 0.00000000
767.40741, 0.00000000
767.62763, 0.00000000
767.84785, 0.00000000
768.06807, 0.00000000
768.28829, 0.00000000
768.50851, 0.00000000
768.72873, 0.00000005
768.94895, 0.00000050
769.16917, 0.00000436
769.38939, 0.00003145
769.60961, 0.00018666
769.82983, 0.00091255
770.05005, 0.00367463
770.27027, 0.01218768
770.49049, 0.03329511
770.71071, 0.07491901
770.93093, 0.13885316
771.15115, 0.21196872
771.37137, 0.26652665
771.59159, 0.27603616
771.81181, 0.23548941
772.03203, 0.16554266
772.25225, 0.09611100
772.47247, 0.04676238
772.69269, 0.02077661
772.91291, 0.01179234
773.13313, 0.01191446
773.35335, 0.01511063
773.57357, 0.01739193
773.79379, 0.01675653
774.01401, 0.01333116
774.23423, 0.00873922
774.45445, 0.00471906
774.67467, 0.00209892
774.89489, 0.00076893
775.11512, 0.00023202
775.33534, 0.00005767
775.55556, 0.00001181
775.77578, 0.00000199
775.99600, 0.00000028
776.21622, 0.00000003
776.43644, 0.00000000
776.65666, 0.00000000
776.87688, 0.00000000
777.09710, 0.00000000
777.31732, 0.00000000
777.53754, 0.00000000
777.75776, 0.00000000
777.97798, 0.00000000
778.19820, 0.00000000
778.41842, 0.00000000
778.63864, 0.00000000
778.85886, 0.00000000
779.07908, 0.00000000
779.29930, 0.00000000
779.51952, 0.00000000
779.73974, 0.00000000
779.95996, 0.00000001
780.18018, 0.00000009
780.40040, 0.00000090
780.62062, 0.00000725
780.84084, 0.00004839
781.06106, 0.00026594
781.28128, 0.00120374
781.50150, 0.00448783
781.72172, 0.01378135
781.94194, 0.03485778
782.16216, 0.07262061
782.38238, 0.12461554
782.60260, 0.17613137
782.82282, 0.20504712
783.04304, 0.19661862
783.26326, 0.15529635
783.48348, 0.10105301
783.70370, 0.05425243
783.92392, 0.02428657
784.14414, 0.00974576
784.36436, 0.00494027
784.58458, 0.00489110
784.80480, 0.00648777
785.02503, 0.00785530
785.24525, 0.00795321
785.46547, 0.00664623
785.68569, 0.00457596
785.90591, 0.00259513
786.12613, 0.00121224
786.34635, 0.00046641
786.56657, 0.00014781
786.78679, 0.00003858
787.00701, 0.00000830
787.22723, 0.00000147
787.44745, 0.00000021
787.66767, 0.00000003
787.88789, 0.00000000
788.10811, 0.00000000
788.32833, 0.00000000
788.54855, 0.00000000
788.76877, 0.00000000
788.98899, 0.00000000
789.20921, 0.00000000
789.42943, 0.00000000
789.64965, 0.00000000
789.86987, 0.00000000
790.09009, 0.00000000
790.31031, 0.00000000
790.53053, 0.00000000
790.75075, 0.00000000
790.97097, 0.00000000
791.19119, 0.00000000
791.41141, 0.00000000
791.63163, 0.00000000
791.85185, 0.00000000
792.07207, 0.00000003
792.29229, 0.00000027
792.51251, 0.00000171
792.73273, 0.00000901
792.95295, 0.00003905
793.17317, 0.00013937
793.39339, 0.00040968
793.61361, 0.00099190
793.83383, 0.00197810
794.05405, 0.00324921
794.27427, 0.00439603
794.49449, 0.00489887
794.71471, 0.00449659
794.93493, 0.00339956
795.15516, 0.00211697
795.37538, 0.00108585
795.59560, 0.00045883
795.81582, 0.00015993
796.03604, 0.00004650
796.25626, 0.00001228
796.47648, 0.00000452
796.69670, 0.00000359
796.91692, 0.00000366
797.13714, 0.00000330
797.35736, 0.00000248
797.57758, 0.00000154
797.79780, 0.00000078
798.01802, 0.00000033
798.23824, 0.00000011
798.45846, 0.00000003
798.67868, 0.00000001
798.89890, 0.00000000
799.11912, 0.00000000
799.33934, 0.00000000
799.55956, 0.00000000
799.77978, 0.00000000
800.00000, 0.00000000
