wavelength [nm], relative intensity
697.15716, 0.00751629
697.37738, 0.02373084
697.59760, 0.06171276
697.81782, 0.13218707
698.03804, 0.23321429
698.25826, 0.33890151
698.47848, 0.40564305
698.69870, 0.39991413
698.91892, 0.32474437
699.13914, 0.21720443
699.35936, 0.11965970
699.57958, 0.05429744
699.79980, 0.02029378
700.02002, 0.00624739
700.24024, 0.00158411
700.46046, 0.00033085
700.68068, 0.00005691
700.90090, 0.00000806
701.12112, 0.00000094
701.34134, 0.00000009
701.56156, 0.00000001
701.78178, 0.00000000
702.00200, 0.00000000
702.22222, 0.00000000
702.44244, 0.00000000
702.66266, 0.00000000
702.88288, 0.00000000
703.10310, 0.00000000
703.32332, 0.00000000
703.54354, 0.00000000
703.76376, 0.00000000
703.98398, 0.00000000
704.20420, 0.00000000
704.42442, 0.00000000
704.64464, 0.00000000
704.86486, 0.00000000
705.08509, 0.00000000
705.30531, 0.00000000
705.52553, 0.00000003
705.74575, 0.00000035
705.96597, 0.00000312
706.18619, 0.00002284
706.40641, 0.00013756
706.62663, 0.00068252
706.84685, 0.00278930
707.06707, 0.00938922
707.28729, 0.02603253
707.50751, 0.05945049
707.72773, 0.11182699
707.94795, 0.17325669
708.16817, 0.22109840
708.38839, 0.23239851
708.60861, 0.20120245
708.82883, 0.14347802
709.04905, 0.08427323
709.26927, 0.04077051
709.48949, 0.01624631
709.70971, 0.00533231
709.92993, 0.00144155
710.15015, 0.00032099
710.37037, 0.00005887
710.59059, 0.00000889
710.81081, 0.00000111
711.03103, 0.00000011
711.25125, 0.00000001
711.47147, 0.00000000
711.69169, 0.00000000
711.91191, 0.00000000
712.13213, 0.00000000
712.35235, 0.00000000
712.57257, 0.00000000
712.79279, 0.00000000
713.01301, 0.00000000
713.23323, 0.00000000
713.45345, 0.00000000
713.67367, 0.00000000
713.89389, 0.00000000
714.11411, 0.00000000
714.33433, 0.00000000
714.55455, 0.00000000
714.77477, 0.00000000
714.99499, 0.00000000
715.21522, 0.00000000
715.43544, 0.00000000
715.65566, 0.00000000
715.87588, 0.00000000
716.09610, 0.00000000
716.31632, 0.00000002
716.53654, 0.00000013
716.75676, 0.00000056
716.97698, 0.00000200
717.19720, 0.00000584
717.41742, 0.00001409
717.63764, 0.00002797
717.85786, 0.00004573
718.07808, 0.00006160
718.29830, 0.00006834
718.51852, 0.00006245
718.73874, 0.00004700
718.95896, 0.00002914
719.17918, 0.00001488
719.39940, 0.00000626
719.61962, 0.00000217
719.83984, 0.00000062
720.06006, 0.00000015
720.28028, 0.00000003
720.50050, 0.00000000
720.72072, 0.00000000
720.94094, 0.00000000
721.16116, 0.00000000
721.38138, 0.00000000
721.60160, 0.00000000
721.82182, 0.00000000
722.04204, 0.00000000
722.26226, 0.00000000
722.48248, 0.00000000
722.70270, 0.00000000
722.92292, 0.00000000
723.14314, 0.00000000
723.36336, 0.00000000
723.58358, 0.00000000
723.80380, 0.00000000
724.02402, 0.00000000
724.24424, 0.00000000
724.46446, 0.00000000
724.68468, 0.00000000
724.90490, 0.00000000
725.12513, 0.00000000
725.34535, 0.00000000
725.56557, 0.00000001
725.78579, 0.00000010
726.00601, 0.00000095
726.22623, 0.00000767
726.44645, 0.00005123
726.66667, 0.00028187
726.88689, 0.00127749
727.10711, 0.00476880
727.32733, 0.01466269
727.54755, 0.03713389
727.76777, 0.07746036
727.98799, 0.13308856
728.20821, 0.18834501
728.42843, 0.21954305
728.64865, 0.21078391
728.86887, 0.16668917
729.08909, 0.10857491
729.30931, 0.05825105
729.52953, 0.02574129
729.74975, 0.00936934
729.96997, 0.00280892
730.19019, 0.00069362
730.41041, 0.00014108
730.63063, 0.00002363
730.85085, 0.00000326
731.07107, 0.00000037
731.29129, 0.00000003
731.51151, 0.00000000
731.73173, 0.00000000
731.95195, 0.00000000
732.17217, 0.00000000
732.39239, 0.00000000
732.61261, 0.00000000
732.83283, 0.00000000
733.05305, 0.00000000
733.27327, 0.00000000
733.49349, 0.00000000
733.71371, 0.00000000
733.93393, 0.00000000
734.15415, 0.00000000
734.37437, 0.00000000
734.59459, 0.00000000
734.81481, 0.00000000
735.03504, 0.00000000
735.25526, 0.00000000
735.47548, 0.00000000
735.69570, 0.00000000
735.91592, 0.00000001
736.13614, 0.00000008
736.35636, 0.00000079
736.57658, 0.00000678
736.79680, 0.00004761
737.01702, 0.00027557
737.23724, 0.00131371
737.45746, 0.00515841
737.67768, 0.01668339
737.89790, 0.04444317
738.11812, 0.09751644
738.33834, 0.17623933
738.55856, 0.26234935
738.77878, 0.32166910
738.99900, 0.32485599
739.21922, 0.27022441
739.43944, 0.18514435
739.65966, 0.10448369
739.87988, 0.04856672
740.10010, 0.01859436
740.32032, 0.00586375
740.54054, 0.00152308
740.76076, 0.00032585
740.98098, 0.00005742
741.20120, 0.00000833
741.42142, 0.00000100
741.64164, 0.00000010
741.86186, 0.00000001
742.08208, 0.00000000
742.30230, 0.00000000
742.52252, 0.00000000
742.74274, 0.00000000
742.96296, 0.00000000
743.18318, 0.00000000
743.40340, 0.00000000
743.62362, 0.00000000
743.84384, 0.00000000
744.06406, 0.00000000
744.28428, 0.00000000
744.50450, 0.00000000
744.72472, 0.00000000
744.94494, 0.00000000
745.16517, 0.00000000
745.38539, 0.00000000
745.60561, 0.00000000
745.82583, 0.00000000
746.04605, 0.00000000
746.26627, 0.00000000
746.48649, 0.00000000
746.70671, 0.00000001
746.92693, 0.00000009
747.14715, 0.00000078
747.36737, 0.00000578
747.58759, 0.00003541
747.80781, 0.00017885
748.02803, 0.00074396
748.24825, 0.00254892
748.46847, 0.00719312
748.68869, 0.01671979
748.90891, 0.03201078
749.12913, 0.05047937
749.34935, 0.06556678
749.56957, 0.07014649
749.78979, 0.06181305
750.01001, 0.04486489
750.23023, 0.02682163
750.45045, 0.01320736
750.67067, 0.00535672
750.89089, 0.00178951
751.11111, 0.00049240
751.33133, 0.00011160
751.55155, 0.00002083
751.77177, 0.00000320
751.99199, 0.00000041
752.21221, 0.00000004
752.43243, 0.00000000
752.65265, 0.00000000
752.87287, 0.00000000
753.09309, 0.00000000
753.31331, 0.00000000
753.53353, 0.00000000
753.75375, 0.00000000
753.97397, 0.00000000
754.19419, 0.00000000
754.41441, 0.00000000
754.63463, 0.00000000
754.85485, 0.00000000
755.07508, 0.00000000
755.29530, 0.00000000
755.51552, 0.00000000
755.73574, 0.00000000
755.95596, 0.00000000
756.17618, 0.00000000
756.39640, 0.00000000
756.61662, 0.00000000
756.83684, 0.00000000
757.05706, 0.00000000
757.27728, 0.00000000
757.49750, 0.00000000
757.71772, 0.00000003
757.93794, 0.00000025
758.15816, 0.00000196
758.37838, 0.00001292
758.59860, 0.00007005
758.81882, 0.00031278
759.03904, 0.00115041
759.25926, 0.00348508
759.47948, 0.00869611
759.69970, 0.01787268
759.91992, 0.03025565
760.14014, 0.04218669
760.36036, 0.04845033
760.58058, 0.04583214
760.80080, 0.03571048
761.02102, 0.02291782
761.24124, 0.01211444
761.46146, 0.00527455
761.68168, 0.00189156
761.90190, 0.00055874
762.12212, 0.00013594
762.34234, 0.00002724
762.56256, 0.00000450
762.78278, 0.00000061
763.00300, 0.00000007
763.22322, 0.00000001
763.44344, 0.00000000
763.66366, 0.00000000
763.88388, 0.00000000
764.10410, 0.00000000
764.32432, 0.00000000
764.54454, 0.00000000
764.76476, 0.00000000
764.98498, 0.00000000
765.20521, 0.00000000
765.42543, 0.00000000
765.64565, 0.00000000
765.86587, 0.00000000
766.08609, 0.00000000
766.30631, 0.00000000
766.52653, 0.00000000
766.74675, 0.00000000
766.96697, 0.00000000
767.18719, 0.00000000
767.40741, 0.00000000
767.62763, 0.00000000
767.84785, 0.00000000
768.06807, 0.00000000
768.28829, 0.00000000
768.50851, 0.00000000
768.72873, 0.00000005
768.94895, 0.00000050
769.16917, 0.00000440
769.38939, 0.00003174
769.60961, 0.00018836
769.82983, 0.00092086
770.05005, 0.00370809
770.27027, 0.01229864
770.49049, 0.03359822
770.71071, 0.07560106
770.93093, 0.14011725
771.15115, 0.21389839
771.37137, 0.26895250
771.59159, 0.27854531
771.81181, 0.23761195
772.03203, 0.16695249
772.25225, 0.09662059
772.47247, 0.04605732
772.69269, 0.01808339
772.91291, 0.00584808
773.13313, 0.00155775
773.35335, 0.00034177
773.57357, 0.00006176
773.79379, 0.00000919
774.01401, 0.00000113
774.23423, 0.00000011
774.45445, 0.00000001
774.67467, 0.00000000
774.89489, 0.00000000
775.11512, 0.00000000
775.33534, 0.00000000
775.55556, 0.00000000
775.77578, 0.00000000
775.99600, 0.00000000
776.21622, 0.00000000
776.43644, 0.00000000
776.65666, 0.00000000
776.87688, 0.00000000
777.09710, 0.00000000
777.31732, 0.00000000
777.53754, 0.00000000
777.75776, 0.00000000
777.97798, 0.00000000
778.19820, 0.00000000
778.41842, 0.00000000
778.63864, 0.00000000
778.85886, 0.00000000
779.07908, 0.00000000
779.29930, 0.00000000
779.51952, 0.00000000
779.73974, 0.00000000
779.95996, 0.00000001
780.18018, 0.00000009
780.40040, 0.00000090
780.62062, 0.00000732
780.84084, 0.00004883
781.06106, 0.00026836
781.28128, 0.00121470
781.50150, 0.00452868
781.72172, 0.01390681
781.94194, 0.03517512
782.16216, 0.07328173
782.38238, 0.12575002
782.60260, 0.17773483
782.82282, 0.20691368
783.04304, 0.19840749
783.26326, 0.15670364
783.48348, 0.10194179
783.70370, 0.05462326
783.92392, 0.02410767
784.14414, 0.00876365
784.36436, 0.00262402
784.58458, 0.00064714
784.80480, 0.00013146
785.02503, 0.00002200
785.24525, 0.00000303
785.46547, 0.00000034
785.68569, 0.00000003
785.90591, 0.00000000
786.12613, 0.00000000
786.34635, 0.00000000
786.56657, 0.00000000
786.78679, 0.00000000
787.00701, 0.00000000
787.22723, 0.00000000
787.44745, 0.00000000
787.66767, 0.00000000
787.88789, 0.00000000
788.10811, 0.00000000
788.32833, 0.00000000
